id,title,author,authors,isbn10,format,publisher,pubdate,pages
1,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,"Yvonne Vera (Editor), Yvonne Vera",435910108,Paperback,Heinemann,Sep-99,186
2,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,The Caine Prize for African Writing,1906523371,Paperback,New Internationalist,Aug-10,208
3,African Folktales,Roger D. Abrahams,"Roger D. Abrahams, Dan Frank",394721179,Paperback,Knopf Doubleday Publishing Group,Aug-83,
4,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,Vincent Carretta,813190762,Paperback,University Press of Kentucky,Dec-03,416
5,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,"Esi Sutherland-Addy (Editor), Abena P. A. Busia (Editor), Aminata Diaw",1558615008,Paperback,"Feminist Press at CUNY, The",Aug-05,560
6,"10 Years of the Caine Prize for African Writing: Plus Coetzee, Gordimer, Achebe, Okri",The Caine The Caine Prize for African Writing,The Caine The Caine Prize for African Writing,190652324X,Hardcover,New Internationalist,Sep-09,
7,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,"Bayo Ogunjimi, Abdul Rasheed Na'allah",1592211518,Hardcover,Africa World Press,Feb-06,146
8,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,Marie-Chantal Kalisa,803211023,Hardcover,UNP - Nebraska,Dec-09,236
9,Oral Epics from Africa,John William Johnson,"John William Johnson, Thomas A. Hale, Stephen (Eds.) Belcher, Thomas A. Hale (Editor), Stephen Belcher",253211107,Paperback,Indiana University Press,Mar-08,
10,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,Tony Martin,Tony Martin,912469099,Hardcover,"Majority Press, Incorporated, The",Oct-91,363
11,Land Apart: A South African Reader,Various,"Various, Andre Brink, J. M. Coetzee",140100040,Paperback,Penguin Group (USA),Jun-87,256
12,Women Writing Africa: The Eastern Region,Amandina Lihamba,"Amandina Lihamba (Editor), Fulata L. Moyo (Editor), Mugaybuso M. Mulokozi",1558615342,Paperback,"Feminist Press at CUNY, The",Feb-07,
13,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,Nobantu Rasebotsa,"Nobantu Rasebotsa (Editor), Kylie Thomas (Editor), Meg Samuelson (Editor), Njabulo S. Ndebele",795701845,Paperback,NB Publishers,Mar-10,192
14,Step into a World: A Global Anthology of the New Black Literature,Kevin Powell,"Kevin Powell (Editor), Powell",471380601,Hardcover,"Wiley, John & Sons, Incorporated",Oct-00,496
15,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,"Werner Sollors, Werner Sollors",814781438,Hardcover,New York University Press,Feb-04,
16,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,New Internationalist,New Internationalist,1906523142,Paperback,New Internationalist,Jul-09,214
17,"Traditions in World Literature: Literature of Africa, Softcover Student Edition",McGraw-Hill,"McGraw-Hill, McGraw-Hill Staff",844212024,Paperback,Glencoe/McGraw-Hill,Jan-99,320
18,Love Child,Gcina Mhlophe,Gcina Mhlophe,186914001X,Paperback,University Of KwaZulu-Natal Press,Mar-02,124
19,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,Jacana Media,"Jacana Media (Manufactured by), Monica Arac de Nyeko, Doreen Baingana, Parselelo Kantai",1770091459,Paperback,Jacana Media,Jun-06,228
20,Women Writing Africa: The Southern Region: Volume 1,Sheila Meintjes,"Sheila Meintjes, Dorothy Driver (Editor), Sheila Meintjes (Editor), Margie Orford (Editor), Chiedza Musengezi",1558614060,Library Binding,"Feminist Press at CUNY, The",Dec-02,560
21,Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,ValZrie Orlando,"ValZrie Orlando, Valzrie Orlando, Valrie Orlando",739105620,Hardcover,The Rowman & Littlefield Publishing Group Inc,Dec-02,218
22,Less Than One and Double: A Feminist Reading of African Women's Writing,Kenneth W. Harrow,Kenneth W. Harrow,325070253,Hardcover,Heinemann,Nov-01,384
23,The Rienner Anthology of African Literature,Anthonia C. Kalu,Anthonia C. Kalu,1588264912,Library Binding,"Lynne Rienner Publishers, Inc.",Apr-07,900
24,Oral and Written Expressions of African Cultures,Toyin Falola,"Toyin Falola, Fallou Ngom",1594606471,Paperback,Carolina Academic Press,Mar-09,264
25,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,Monica Arac de Nyeko,Monica Arac de Nyeko,1904456731,Paperback,New Internationalist,Jul-08,214
26,Up the Down Escalator,Linda Rode,"Linda Rode, Hans Bodenstein",795701063,Paperback,NB Publishers,Mar-10,
27,Basali!: Stories by and about Women in Lesotho,K. Limakatso Kendall,K. Limakatso Kendall,869809180,Paperback,University of Natal Press,Feb-95,136
28,How God Fix Jonah,Lorenz Graham,"Lorenz Graham, Ashley Bryan (Illustrator), Effie Lee Morris",1563976986,Hardcover,Boyds Mills Press,Oct-00,160
29,Glass Jars among Trees,Arja Salafranca,"Arja Salafranca (Editor), Alan Finlay",1919931236,Paperback,Jacana Media,Apr-05,188
30,Running Towards Us: New Writing from South Africa,Isabel Balseiro,"Isabel Balseiro (Editor), Isabel Balseiro",325002118,Paperback,Heinemann,May-00,216
31,Of Suffocated Hearts And Tortured Souls,Valerie Key Orlando,Valerie Key Orlando,739105639,Paperback,Lexington Books,Dec-02,
32,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,"Werner Sollors (Editor), Werner Sollors",814781446,Paperback,New York University Press,Feb-04,
33,Among the Blacks,Ron Padgett,"Ron Padgett, Raymond Roussel",939691027,Paperback,Avenue B,Oct-88,64
34,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,Jon Stewart,044657922X,Hardcover,Grand Central Publishing,Sep-10,244
35,The Best American Nonrequired Reading 2010,Dave Eggers,"Dave Eggers (Editor), David Sedaris",547241631,Paperback,Houghton Mifflin Harcourt,Oct-10,484
36,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,Jon Stewart,1607886154,Compact Disc,Hachette Audio,Oct-10,
37,100 Best-Loved Poems,Philip Smith,Philip Smith,486285537,Paperback,Dover Publications,May-95,96
38,"The Norton Anthology of American Literature, Shorter Seventh Edition, One-Volume Paperback",Wayne Franklin,"Wayne Franklin (Editor), Jerome Klinkowitz (Editor), Mary Loeffelholz (Editor), Arnold Krupat (Editor), Philip F. Gura",393930572,Paperback,"Norton, W. W. & Company, Inc.",Jul-07,3008
39,The Best American Poetry 2009,David Wagoner,"David Wagoner (Editor), David Lehman",161552164X,Paperback,Simon & Schuster Adult Publishing Group,Sep-09,
40,The Oxford Book of American Short Stories,Joyce Carol Oates,Joyce Carol Oates,195092627,Paperback,"Oxford University Press, USA",Sep-94,
41,The Best American Essays 2009,Mary Oliver,"Mary Oliver (Editor), Robert Atwan (Editor), Mary Oliver",618982728,Paperback,Houghton Mifflin Harcourt,Oct-09,224
42,"The Norton Anthology of American Literature, Package 2: Volumes C, D, and E",Jerome Klinkowitz,"Jerome Klinkowitz (Editor), Robert Levine (Editor), Mary Loeffelholz (Editor), Arnold Krupat (Editor), Patricia Wallace",393929949,Paperback,"Norton, W. W. & Company, Inc.",Apr-07,2870
43,Early African American Classics (Barnes &amp; Noble Classics Series),Barnes &amp; Noble,Barnes & Noble,1400500281,Paperback,Barnes & Noble,Oct-08,
44,"African-American Poetry: An Anthology, 1773-1930",Joan R. Sherman,Joan R. Sherman,486296040,Paperback,Dover Publications,Jul-97,96
45,Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters,Wally Lamb,"Wally Lamb, Diane Bartholomew, Nancy Birkla, Robin Cullen, Brenda Medina",006059537X,Paperback,HarperCollins Publishers,Feb-04,368
46,"The Norton Anthology of Poetry, Shorter 5th Edition",Margaret Ferguson,"Margaret Ferguson (Editor), Jon Stallworthy (Editor), Mary Jo Salter (Editor), Mary Jo Salter (Editor), Jon Stallworthy",393979210,Paperback,"Norton, W. W. & Company, Inc.",Dec-04,1424
47,The Best American Poetry 2010,Amy Gerstler,"Amy Gerstler (Editor), David Lehman",1439181454,Paperback,Simon & Schuster Adult Publishing Group,Sep-10,229
48,"Classic Slave Narratives: The Life of Olaudah Equiano, The History of Mary Prince, Narrative of the Life of Frederick Douglass, Incidents in the Life of a Slave Girl",Henry Louis Gates Jr.,"Henry Louis Gates Jr. (Editor), Frederick Douglass, Olaudah Equiano, Harriet Jacobs, Mary Prince",451528247,Mass Market Paperback,Penguin Group (USA),Jan-02,688
49,The Best American Nonrequired Reading 2009,Dave Eggers,"Dave Eggers (Editor), Marjane Satrapi",547241607,Paperback,Houghton Mifflin Harcourt,Oct-09,432
50,In Fact: The Best of Creative Nonfiction,Lee Gutkind,"Lee Gutkind (Editor), Annie Dillard",393326659,Paperback,"Norton, W. W. & Company, Inc.",Nov-04,480
51,The Best American Essays of the Century,Joyce Carol Oates,"Joyce Carol Oates, Robert Atwan",618155872,Paperback,Houghton Mifflin Harcourt,Oct-01,624
52,The Best Loved Poems of the American People,Hazel Felleman,"Hazel Felleman (Selected by), Edward Frank Allen (Introduction), Hazel Felleman",385000197,Hardcover,Knopf Doubleday Publishing Group,Oct-36,670
53,The Norton Anthology of American Literature: Volume A: Beginnings to 1820,Wayne Franklin,"Wayne Franklin (Editor), Jerome Klinkowitz (Editor), Arnold Krupat (Editor), Philip F. Gura (Editor), Bruce Michelson",393927393,Paperback,"Norton, W. W. & Company, Inc.",Apr-07,972
54,The Norton Anthology of Poetry,Margaret Ferguson,"Margaret Ferguson, Jon Stallworthy, Mary Jo Salter, Jon Stallworthy (Editor), Mary Jo Salter",393979202,Paperback,"Norton, W. W. & Company, Inc.",Dec-04,2256
55,"The Norton Anthology of African American Literature, Vol. 2",Henry Louis Gates Jr.,"Henry Louis Gates Jr. (Editor), Nellie Y. McKay",393977781,Paperback,"Norton, W. W. & Company, Inc.",Dec-03,2832
56,"Poems, Poets, Poetry: An Introduction and Anthology",Helen Vendler,Helen Vendler,312463197,Paperback,Bedford/St. Martin's,Oct-09,752
57,The Poets Laureate Anthology,Elizabeth Hun Schmidt,"Elizabeth Hun Schmidt, Library of Congress Staff (With), Billy Collins",393061817,Hardcover,"Norton, W. W. & Company, Inc.",Oct-10,816
58,The Portable Beat Reader,Various,"Various, Ann Charters",142437530,Paperback,Penguin Group (USA),Jul-03,
59,The Best American Short Plays 2008-2009,Barbara Parisi,Barbara Parisi,1557837600,Paperback,Applause Theatre Book Publishers,Oct-10,356
60,The Gift of Love,Lori Foster,"Lori Foster, Gia Dawn, Ann Christopher, Lisa Cooke, Heidi Betts",425234282,Paperback,Penguin Group (USA),Jun-10,368
61,One Hundred and One Famous Poems (Barnes &amp; Noble Library of Essential Reading),Roy J. Cook,Roy J. Cook,1435114760,Paperback,Barnes & Noble,Feb-09,
62,The Vintage Book of Contemporary American Poetry,J. D. McClatchy,J. D. McClatchy,1400030935,Paperback,Knopf Doubleday Publishing Group,Apr-03,656
63,Literature: A Pocket Anthology,R. S. Gwynn,R. S. Gwynn,205655106,Paperback,Longman,Jan-09,
64,I'll Fly Away: Further Testimonies from the Women of York Prison,Wally Lamb,"Wally Lamb, I'll Fly Away Contributors",61626392,Paperback,HarperCollins Publishers,Oct-08,288
65,American Earth: Environmental Writing Since Thoreau,Bill McKibben,"Bill McKibben (Editor), Al Gore",1598530208,Hardcover,Library of America,Apr-08,900
66,Best Poems of the English Language: From Chaucer Through Robert Frost,Harold Bloom,Harold Bloom,60540427,Paperback,HarperCollins Publishers,Aug-07,1008
67,Humor Me: An Anthology of Funny Contemporary Writing (Plus Some Great Old Stuff Too),Ian Frazier,Ian Frazier,61728942,Hardcover,HarperCollins Publishers,May-10,
68,Coming of Age in America: A Multicultural Anthology,Mary Frosch,"Mary Frosch, Gary Soto",1565841476,Paperback,"New Press, The",Sep-07,288
69,"Three African-American Classics: Up from Slavery, The Souls of Black Folk and Narrative of the Life of Frederick Douglass",Booker T. Washington,"Booker T. Washington, Frederick Douglass, W.E.B. Du Bois, W. E. Du Bois",486457575,Paperback,Dover Publications,Feb-07,448
70,100 Best African American Poems with CD,Nikki Giovanni,Nikki Giovanni,1402221118,Other Format,"Sourcebooks, Incorporated",Nov-10,256
71,Six American Poets: An Anthology,Joel Conarroe,Joel Conarroe,679745254,Paperback,Knopf Doubleday Publishing Group,Dec-93,320
72,Norton Anthology of Literature by Women: The Traditions in English,Sandra M. Gilbert,"Sandra M. Gilbert (Editor), Norton, Susan Gubar, Susan Gubar",393930157,Paperback,"Norton, W. W. & Company, Inc.",Feb-07,2452
73,Multicultural Children's Literature: Through the Eyes of Many Children,Donna E. Norton,Donna E. Norton,135145287,Paperback,Prentice Hall,Mar-08,
74,The Voice That Is Great within Us: American Poetry of the Twentieth Century,Hayden Carruth,"Hayden Carruth, Susan Kagen Podell",553262637,Mass Market Paperback,Random House Publishing Group,Sep-83,768
75,Poems That Touch the Heart,A.L. Alexander,"A.L. Alexander, A. L. Alexander (Introduction), A. L. Alexander",385044011,Hardcover,Knopf Doubleday Publishing Group,Oct-84,464
76,I Thought My Father Was God: And Other True Tales from NPR's National Story Project,Paul Auster,"Paul Auster, Nelly Reifler",312421001,Paperback,Picador,Sep-02,416
77,Listening For God Rdr Vol 4,Paula J. Carlson,"Paula J. Carlson (Editor), Peter S. Hawkins",806645776,Paperback,"Augsburg Fortress, Publishers",Jan-03,164
78,The American Tradition in Literature (concise) book alone,George Perkins,"George Perkins, Barbara Perkins",73384895,Paperback,"McGraw-Hill Companies, The",Nov-08,2352
79,"Approaching Literature: Writing, Reading, Thinking",Peter Schakel,"Peter Schakel, Jack Ridl",312452837,Paperback,Bedford/St. Martin's,Dec-07,1696
80,The Norton Anthology of American Literature: Volume C: 1865-1914,Arnold Krupat,"Arnold Krupat (Editor), Jerome Klinkowitz (Editor), Mary Loeffelholz (Editor), Philip F. Gura (Editor), Bruce Michelson",393927415,Paperback,"Norton, W. W. & Company, Inc.",Apr-07,1094
81,American Fantastic Tales Boxed Set,Peter Straub,Peter Straub,1598530593,Hardcover,Library of America,Oct-09,1500
82,Unsettling America: An Anthology of Contemporary Multicultural Poetry,Maria Mazziotti Gillan,"Maria Mazziotti Gillan (Editor), Jennifer Gillan",014023778X,Paperback,Penguin Group (USA),Nov-94,432
83,"Listening For God Reader, Vol 1",Paula J. Carlson,"Paula J. Carlson (Editor), Peter S. Hawkins (Editor), Peter S. Hawkins",806627158,Paperback,"Augsburg Fortress, Publishers",Aug-94,164
84,Concise Anthology of American Literature,James Leonard,"James Leonard, David Bradley, George McMichael, Dana Nelson, Shelley Fisher Fishkin",205763103,Paperback,Prentice Hall,Jan-10,2368
85,"The Heath Anthology of American Literature: Contemporary Period (1945 To The Present), Volume E",Paul Lauter,"Paul Lauter, Richard Yarborough, John Alberti, Mary Pat Brady, Jackson Bryer",054720180X,Paperback,Cengage Learning,Mar-09,3612
86,The Portable Harlem Renaissance Reader,David Lewis,"David Lewis, David Levering Lewis",140170367,Paperback,Penguin Group (USA),Jun-95,816
87,American Short Stories,Bert Hitchcock,Bert Hitchcock,321484894,Hardcover,Longman,Oct-07,760
88,Great Love Poems,Shane Weller,Shane Weller,486272842,Paperback,Dover Publications,Oct-92,128
89,"The Harper American Literature, Single Volume Edition",Donald McQuade,"Donald McQuade, Justin Kaplan, Martha Banta",321012690,Hardcover,Longman,Dec-98,2867
90,The Latino Reader: An American Literary Tradition from 1542 to the Present,Margarite Fernandez Olmos,"Margarite Fernandez Olmos (Editor), Harold Augenbraum",395765285,Paperback,Houghton Mifflin Harcourt,Mar-97,528
91,Black Nature,Camille T. Dungy,Camille T. Dungy,820334316,Paperback,University of Georgia Press,Dec-09,432
92,Anthology of American Literature Volume II,George McMichael,"George McMichael, James Leonard, James S. Leonard",132216477,Paperback,Prentice Hall,Jan-07,
93,Best Remembered Poems,Martin Gardner,"Martin Gardner (Editor), Martin Gardner",048627165X,Paperback,Dover Publications,Dec-92,224
94,Nine Plays of the Modern Theater: Waiting for Godot; The Visit; Tango; The Caucasian Chalk Circle; The Balcony; Rhinoceros; American Buffalo; The Birthday Party; Rosencrantz and Guildenstern are Dead,Harold Clurman,Harold Clurman,802150322,Paperback,"Grove/Atlantic, Inc.",Jan-94,912
95,"The Norton Anthology of Literature by Women: The Traditions in English, Vol. 2",Sandra M. Gilbert,"Sandra M. Gilbert (Editor), Susan Gubar",393930149,Hardcover,"Norton, W. W. & Company, Inc.",Feb-07,
96,Writing New York: A Literary Anthology,Phillip Lopate,Phillip Lopate,1598530216,Paperback,Library of America,Jan-08,1050
97,The Best American Essays 2009,Mary Oliver,"Mary Oliver (Editor), Robert Atwan (Editor), Mary Oliver",1616836865,Paperback,Houghton Mifflin Harcourt,Oct-09,
98,The Hudson River Valley Reader,Edward C. Goodman,Edward C. Goodman,1616823763,Hardcover,Cider Mill Press,Mar-09,
99,The Best American Poetry 2009,David Wagoner,"David Wagoner (Editor), David Lehman",743299779,Paperback,Simon & Schuster Adult Publishing Group,Sep-09,240
100,Sudden Fiction Latino: Short-Short Stories from the United States and Latin America,Robert Shapard,"Robert Shapard (Editor), James Thomas (Editor), Luisa Valenzuela",039333645X,Paperback,"Norton, W. W. & Company, Inc.",Mar-10,336
101,I Am the Darker Brother: An Anthology of Modern Poems by African Americans,Arnold Adoff,Arnold Adoff,689808690,Mass Market Paperback,Simon & Schuster Children's Publishing,Jan-97,192
102,Classic American Autobiographies,William L. Andrews,"William L. Andrews, William L. Andrews",451529154,Mass Market Paperback,Penguin Group (USA),Nov-03,464
103,Mental Floss: Scatterbrained,Editors Of Mental Floss,"Editors Of Mental Floss, Gre, Ransom Riggs, Will Hickman, John Green",60882506,Paperback,HarperCollins Publishers,Jul-06,256
104,The Portable Sixties Reader,Ann Charters,"Ann Charters, Various",142001945,Paperback,Penguin Group (USA),Dec-02,672
105,Modern American Memoirs,Annie Dillard,"Annie Dillard, Cort Conley",60927631,Paperback,HarperCollins Publishers,Oct-96,464
106,Best American Spiritual Writing 2007,Philip Zaleski,"Philip Zaleski, Harvey Cox",641974124,Paperback,Houghton Mifflin Company,Oct-07,
107,The Norton Anthology of American Literature: Volume D: 1914-1945,Jerome Klinkowitz,"Jerome Klinkowitz (Editor), Mary Loeffelholz (Editor), Arnold Krupat (Editor), Philip F. Gura (Editor), Bruce Michelson",393927423,Paperback,"Norton, W. W. & Company, Inc.",Apr-07,910
108,Making Literature Matter: An Anthology for Readers and Writers,John Schilb,"John Schilb, John Clifford",312474911,Paperback,Bedford/St. Martin's,Aug-08,
109,"Luis Valdez - Early Works: Actos, Bernabe and Pensamiento Serpentino",Luis Valdez,"Luis Valdez, Teatro Campesino",1558850031,Hardcover,Arte Publico Press,Jan-90,189
110,In Our Own Words: Student Writers at Work,Rebecca Mlynarczyk,"Rebecca Mlynarczyk, Steven B. Haber",521540283,Paperback,Cambridge University Press,Apr-05,288
111,Touch,Toni Press-Coffman,Toni Press-Coffman,822220555,Paperback,"Dramatists Play Service, Incorporated",Nov-05,51
112,"The American Tradition in Literature, Volume 1(book alone)",George Perkins,"George Perkins, Barbara Perkins",77239040,Paperback,"McGraw-Hill Companies, The",Oct-08,2040
113,The Four Seasons: Poems,J. D. McClatchy,J. D. McClatchy,307268349,Hardcover,Knopf Doubleday Publishing Group,Jun-08,256
114,The American Stage: Writing on Theater from Washington Irving to Tony Kushner,Lawrence Senelick,"Lawrence Senelick (Editor), John Lithgow",1598530690,Hardcover,Library of America,Apr-10,850
115,Bum Rush the Page: A Def Poetry Jam,Tony Medina,"Tony Medina, Louis Reyes Rivera (Editor), Sonia Sanchez",609808400,Paperback,Crown Publishing Group,Oct-01,320
116,The Outlaw Bible of American Literature,Alan Kaufmann,"Alan Kaufmann (Editor), Barney Rosset (Editor), Neil Ortenberg",1560255501,Paperback,Basic Books,Dec-04,920
117,Mother California: A Story of Redemption Behind Bars,Kenneth E. Hartman,Kenneth E. Hartman,1934633941,Paperback,Atlas & Co.,Sep-10,
118,The Best American Short Stories 2003,Walter Mosley,"Walter Mosley (Editor), Katrina Kenison",618197338,Paperback,Houghton Mifflin Harcourt,Oct-03,386
119,Spider Woman's Granddaughters: Traditional Tales and Contemporary Writing by Native American Women,Paula Gunn Allen,Paula Gunn Allen,044990508X,Paperback,Random House Publishing Group,May-90,288
120,Transforming a Rape Culture,Emilie Buchwald,"Emilie Buchwald (Editor), Martha Roth (Editor), Pamela R. Fletcher (Editor), Pamela Fletcher",1571312692,Paperback,Milkweed Editions,Aug-04,424
121,American Food Writing: An Anthology with Classic Recipes,Molly O'Neill,Molly O'Neill,1598530410,Paperback,Library of America,Jan-09,
