id,title,author,authors,isbn10,format,publisher,pubdate,pages
372,Daughters Of Decadence,Elaine Showalter,Elaine Showalter,813520185,Paperback,Rutgers University Press,Aug-93,352
373,"American Tradition in Literature : With American Ariel, Vol. 2",George Perkins,George Perkins,73221538,Hardcover,"McGraw-Hill Companies, The",Oct-06,
374,Best American Nonrequired Reading 2005,Dave Eggers,"Dave Eggers (Editor), Beck",618570489,Paperback,Houghton Mifflin Harcourt,Oct-05,370
375,Sister Nations: Native American Women Writing on Community,Heid E. Erdrich,"Heid E. Erdrich (Editor), Laura Tohe (Editor), Winona LaDuke",873514289,Paperback,Minnesota Historical Society Press,Mar-02,230
376,Asian-American Literature: A Brief Introduction and Anthology,Shawn Wong,Shawn Wong,673469778,Paperback,Longman,Jan-97,400
377,Black Silk: A Collection of African-American Erotica,Retha Powers,Retha Powers,446676918,Paperback,Hachette Book Group,Feb-02,356
378,The Best Plays Theater Yearbook 2007-2008,Jeffrey Eric Jenkins,Jeffrey Eric Jenkins,879103663,Hardcover,Limelight Editions,Oct-09,650
379,"Damage Control: Women on the Therapists, Beauticians, and Trainers Who Navigate Their Bodies",Emma Forrest,Emma Forrest,61175358,Paperback,HarperCollins Publishers,Jun-07,304
380,The Prentice Hall Anthology of Latino Literature,Eduardo del Rio,"Eduardo del Rio, Eduardo Rius Del Rio",130266876,Hardcover,Prentice Hall,Aug-01,544
381,The Norton Book of American Autobiography,Jay Parini,"Jay Parini (Editor), Gore Vidal",039304677X,Hardcover,"Norton, W. W. & Company, Inc.",Mar-99,711
382,New Playwrights: The Best Plays of 2000,D. L. Lepidus,D. L. Lepidus,157525249X,Paperback,"Smith & Kraus, Inc.",Jan-03,311
383,Xerophilia: Ecocritical Explorations in Southwestern Literature,Tom Lynch,"Tom Lynch, Scott Slovic",089672638X,Hardcover,Texas Tech University Press,Dec-08,264
384,"The New Anthology of American Poetry: Volume I: Traditions and Revolutions, Beginnings to 1900",Steven Gould Axelrod,"Steven Gould Axelrod (Editor), Camille Roman, Camille Roman (Editor), Thomas J. Travisano (Editor), Camille Roman",813531624,Paperback,Rutgers University Press,Mar-03,768
385,Contemporary U. S. Latino a Literary Criticism,Lyn Di Iorio Sandin,"Lyn Di Iorio Sandin (Editor), Richard Perez",1403979995,Hardcover,Palgrave Macmillan,Oct-07,304
386,Brother to Brother: New Writings by Black Gay Men,Essex Hemphill,"Essex Hemphill (Editor), Chuck Tarver (Afterword), Jafari Allen (Introduction), Joseph Beam",978625110,Paperback,Small Pr Distribution,Dec-07,389
387,"The New World Border: Prophecies, Poems, and Loqueras for the End of the Century",Guillermo Gomez-Pena,Guillermo Gomez-Pena,872863131,Hardcover,City Lights Books,Jan-01,244
388,"Literatura Chicana, 1965-1995: An Anthology in Spanish, English, and Calo, Vol. 191",Garland,"Garland, David Foster (Editor), Manuel De Jesus Hernandez-Gutier",815320809,Paperback,Routledge,Mar-97,520
389,So Fey,Steve Berman,Steve Berman,1590212282,Paperback,Lethe Press,Jun-09,348
390,"Imagined Transnationalism: U. S. Latino/A Literature, Culture, and Identity",Kevin Concannon,"Kevin Concannon (Editor), Francisco A. Lomeli (Editor), Marc Priewe",230606326,Hardcover,Palgrave Macmillan,Nov-09,272
391,Literature and Aging: An Anthology,Martin Kohn,"Martin Kohn (Editor), Delese Wear (Editor), Carol Donley",873384660,Paperback,Kent State University Press,Feb-93,456
392,Salaam. Peace: An Anthology of Middle Eastern-American Drama,Holly Hill,Holly Hill,1559363320,Paperback,Theatre Communications Group,Jan-10,400
393,Plays and Playwrights 2008,Robert Attweiler,"Robert Attweiler, Daniel Reitz, Crystal Skillman, Leslie Bramm, Daniel Talbott",979485215,Paperback,"New York Theatre Experience, Incorporated, The",Feb-08,
394,Call and Response: The Riverside Anthology of the African American Literary Tradition CD,Patricia Liggins Hill,"Patricia Liggins Hill (Editor), Patricia Liggins Hill, Bernard W. Bell (Editor), Bernard W. Bell",395875099,Multimedia,CENGAGE Learning,Jan-98,
395,U.S. Latino Literature Today,Gabriela Baeza Ventura,Gabriela Baeza Ventura,321198433,Paperback,Longman,Aug-04,352
396,Death Defying Acts,Woody Allen,"Woody Allen, Elaine May, David Mamet",573695393,Paperback,"Samuel French, Incorporated",Jan-96,132
397,American Studies Anthology,Richard P. Horwitz,Richard P. Horwitz,842028293,Paperback,Sr Books,Aug-01,416
398,Women Heroes: Six Short Plays from the Women's Project,Julia Miles,Julia Miles,936839228,Paperback,Applause Theatre Book Publishers,Jan-87,104
399,Queer Beats: How the Beats Turned America On to Sex,Regina Marler,Regina Marler,1573441880,Paperback,Cleis Press,Jun-04,209
400,Message to Aztlan: Selected Readings,Rodolfo Gonzales,"Rodolfo Gonzales, Antonio Esquibel (Compiler), Rodolfo F. Acuna",1558853316,Paperback,Arte Publico Press,Jan-01,256
401,The New England Transcendentalists: Life of the Mind and of the Spirit (Perspectives on History Series),Ellen Hansen,Ellen Hansen,1932663177,Paperback,"History Compass, LLC",Dec-06,44
402,Literature of the American South: A Norton Anthology,William L. Andrews,William L. Andrews,393316718,Paperback,"Norton, W. W. & Company, Inc.",Oct-97,1060
403,The American Puritans: Their Prose and Poetry,Perry Miller,"Perry Miller (Editor), Perry Miller",023105419X,Paperback,Columbia University Press,May-82,346
404,"Richard Wright: Early Works (Lawd Today!, Uncle Tom's Children, Native Son)",Richard Wright,"Richard Wright, Arnold Rampersad",940450666,Hardcover,Library of America,Oct-91,936
405,The Heath Anthology of American Literature: Volume E: Contemporary Period (1945 to the Present),Paul Lauter,"Paul Lauter, Richard Yarborough, Jackson Bryer, Charles Molesworth, King-Kok Cheung",061853301X,Paperback,Cengage Learning,Jan-05,1264
406,Best American Magazine Writing 2004,American Society Of Magazine Editors,"American Society Of Magazine Editors, Susan Orlean",60749539,Paperback,HarperCollins Publishers,Sep-04,560
407,Writing Off the Hyphen: New Perspectives on the Literature of the Puerto Rican Diaspora,Jose L. Torres-Padilla,"Jose L. Torres-Padilla, Carmen Hayd'e Rivera",029598824X,Paperback,University of Washington Press,Apr-08,361
408,Ethnic Modernism,Werner Sollors,Werner Sollors,674030915,Paperback,Harvard University Press,Nov-08,336
409,Recollections of the Early Republic: Selected Autobiographies,Joyce Appleby,Joyce Appleby,1555533019,Paperback,Northeastern University Press,Jan-97,300
410,The Best American Magazine Writing,Clay Felker,Clay Felker,158648009X,Paperback,PublicAffairs,Dec-00,432
411,"Blacklegs, Card Sharps, and Confidence Men",Thomas Ruys Smith,Thomas Ruys Smith,807136360,Hardcover,Louisiana State University Press,May-10,
412,Modern American Prose: Fifteen Writers + 15,John Clifford,"John Clifford, Robert DiYanni, Robert DiYanni, Robert DiYanni",70113963,Paperback,McGraw-Hill Higher Education,Jan-93,
413,A Beginner's Guide to Critical Reading: An Anthology of Literary Texts,Richard Jacobs,Richard Jacobs,415234689,Paperback,"Taylor & Francis, Inc.",Apr-01,
414,For a Living: The Poetry of Work,Nicholas Coles,"Nicholas Coles, Nicholas Coles",252064100,Paperback,University of Illinois Press,Mar-95,
415,What's Nature Worth?: Narrative Expressions of Environmental Values,Terre Satterfield,"Terre Satterfield (Editor), Scott Slovic",874807905,Paperback,University of Utah Press,Mar-04,320
416,New Playwrights: The Best Plays of 2001,D. L. Lepidus,"D. L. Lepidus (Editor), Michael Kinghorn",157525297X,Paperback,"Smith & Kraus, Inc.",Jul-03,352
417,New Playwrights: The Best Plays of 2004,D. L. Lepidus,"D. L. Lepidus (Editor), Rosary O'Neill",1575254247,Paperback,"Smith & Kraus, Inc.",May-05,411
418,More New York Stories: The Best of the City Section of The New York Times,Constance Rosenblum,Constance Rosenblum,814776558,Paperback,New York University Press,Nov-10,320
419,Latina,Lillian Castillo-speed,Lillian Castillo-speed,684802406,Paperback,Simon & Schuster Adult Publishing Group,Aug-95,288
420,Word Virus,William S. Burroughs,"William S. Burroughs, James Grauerholz (Editor), Ira Silverberg (Editor), Ira Silverberg (Editor), James Grauerholz",080213694X,Paperback,"Grove/Atlantic, Inc.",Jun-00,576
421,American Fantastic Tales: Terror and the Uncanny from the 1940s to Now,Peter Straub,Peter Straub,1598530488,Hardcover,Library of America,Oct-09,750
422,Christmas in Minnesota,Marilyn Ziebarth,"Marilyn Ziebarth (Editor), Brian Horrigan",873515420,Hardcover,Minnesota Historical Society Press,Nov-05,208
423,"Iowa, the Definitive Collection: Classic and Contemporary Readings by Iowans, for Iowans",Zachary Michael Jack,Zachary Michael Jack,1888160381,Paperback,Ice Cube Press,Jun-09,532
424,"Friction, Volume 7: Best Gay Erotic Fiction",Jesse Grant,Jesse Grant,1555838278,Paperback,Alyson Books,Feb-04,368
425,A Kentucky Christmas,George Ella Lyon,"George Ella Lyon (Editor), Harriette Simpson Arnow, Dianne Aprile",813122791,Hardcover,University Press of Kentucky,Oct-03,
426,The Little Big Book of California,Natasha Tabori Fried,"Natasha Tabori Fried (Editor), Lena Tabori",1932183701,Hardcover,Welcome Enterprises,Apr-05,352
427,New Playwrights: The Best Plays of 2005,D. L. Lepidus,"D. L. Lepidus (Editor), Brian Mori",1575254468,Paperback,"Smith & Kraus, Inc.",May-06,352
428,Tenderheaded: A Comb-Bending Collection of Hair Stories,Juliette Harris,"Juliette Harris (Editor), Pamela Johnson, Ntozake Shange",671047566,Paperback,Simon & Schuster Adult Publishing Group,Jan-02,320
429,The Classic Hundred Poems: All-Time Favorites,William Harmon,"William Harmon (Editor), Various, Ensemble cast",1598875787,Compact Disc,HighBridge Company,Dec-07,
430,The Best of Bamboo Ridge,Eric Chock,"Eric Chock, Darrell H. Y. Lum, Lum Darrell H. Y.",910043078,Paperback,Bamboo Ridge Press,Jul-86,325
431,Inlandia,Gayle Wattawa,"Gayle Wattawa (Editor), Susan Straight",1597140376,Paperback,Heyday Books,Oct-06,448
432,Literary Savannah,Patrick Allen,Patrick Allen,189251401X,Paperback,"Hill Street Press, LLC",Jul-06,
433,"New Oxford Book of American Verse, Vol. 1",Richard Ellmann,"Richard Ellmann, Oxford",195020588,Hardcover,"Oxford University Press, USA",Oct-76,1136
434,Caroling Dusk,Countee Cullen,"Countee Cullen (Editor), Countee Cullen",806513497,Paperback,Kensington Publishing Corporation,Jan-93,264
435,Literary Fort Worth,Judy Alter,"Judy Alter (Editor), James Ward Lee",875652530,Paperback,Texas Christian University Press,May-02,442
436,A River Through Illinois,Daniel V. Overturf,"Daniel V. Overturf, Gary Marx, Bill Kurtis",809327635,Hardcover,Southern Illinois University Press,Apr-08,256
437,"Don't Squat With Yer Spurs On! II, Vol. 2",Texas Bix Bender,"Texas Bix Bender, L. Bark'karie",879058323,Paperback,"Smith, Gibbs Publisher",Sep-97,128
438,The Maine Reader: The Down East Experience from 1614 to the Present,Charles Shain,"Charles Shain, Samuella Shain",1567920780,Paperback,"Godine, David R. Publishers, Inc.",Jan-97,524
439,Florida Frenzy,Harry E. Crews,Harry E. Crews,813007267,Paperback,University Press of Florida,Jun-82,138
440,Starting Today: 100 Poems for Obama's First 100 Days,Rachel Zucker,"Rachel Zucker (Editor), Arielle Greenberg",1587298716,Paperback,University of Iowa Press,Apr-10,210
441,Chattooga: Descending into the Myth of Deliverance River,John Lane,John Lane,820327751,Paperback,University of Georgia Press,Sep-05,224
442,All Things Censored [With CD],Mumia Abu-Jamal,"Mumia Abu-Jamal, Noelle Hanrahan (Editor), Alice Walker",1583220224,Hardcover,Seven Stories Press,Jul-03,304
443,Listen Here: Women Writing in Appalachia,Sandra L. Ballard,"Sandra L. Ballard (Editor), Patricia L. Hudson",813190665,Paperback,University Press of Kentucky,Aug-04,712
444,The Flu Season and Other Plays,Will Eno,Will Eno,155936291X,Paperback,Theatre Communications Group,Dec-06,240
445,Solomon Northup's Twelve Years a Slave: And Plantation Life in the Antebellum South,Solomon Northup,"Solomon Northup, Sue L. Eakin, University of Louisiana at Lafayette, Center for Louisiana Studies Staff",188736675X,Hardcover,University of Louisiana at Lafayette Press,Jan-07,
446,Bamboo among the Oaks: Contemporary Writing by Hmong Americans,Mai Neng Moua,Mai Neng Moua,873514378,Paperback,Minnesota Historical Society Press,Oct-02,
447,Poets of the Civil War,J. D. McClatchy,J. D. McClatchy,1931082766,Hardcover,Library of America,Apr-05,250
448,The Book of American Negro Poetry,James Weldon Johnson,"James Weldon Johnson, James W. Johnson",156135396,Paperback,Houghton Mifflin Harcourt,Oct-69,
449,"Slave Narratives: James Albert Ukawsaw Gronniosaw, Olaudah Equiano, Nat Turner, Frederick Douglass, William Wells Brown, Henry Bibb, Sojourner Truth, William and Ellen Craft, Harriet A. Jacobs, Jacob D. Green (Library of America)",William L. Andrews,"William L. Andrews, Henry Louis Gates Jr.",1883011760,Hardcover,Library of America,Jan-00,992
450,Denali: A Literary Anthology,Bill Sherwonit,Bill Sherwonit,089886710X,Paperback,"Mountaineers Books, The",Oct-00,272
451,The Best American Poetry 2005,Paul Muldoon,"Paul Muldoon (Editor), David Lehman",743257588,Paperback,Simon & Schuster Adult Publishing Group,Sep-05,224
452,"Who's to Say What's Obscene?: Politics, Culture, and Comedy in America Today",Paul Krassner,"Paul Krassner, Arianna Huffington (Foreword by), Wavy Gravy",872865010,Paperback,City Lights Books,Jul-09,240
453,Impossible Princess,Kevin Killian,Kevin Killian,872865282,Paperback,City Lights Books,Nov-09,200
454,This Bridge We Call Home: Radical Visions for Transformation,Gloria E. Anzaldua,"Gloria E. Anzaldua (Editor), AnaLouise Keating (Editor), Analouise Keating (Editor), Analouise Keating",415936829,Paperback,"Taylor & Francis, Inc.",Sep-02,624
455,Our Own Stories: Readings for Cross-Cultural Communication,Norine Dresser,Norine Dresser,201846705,Paperback,Longman Publishing Group,Aug-95,161
456,Sky Begins at Your Feet,Caryn Mirriam-Goldberg,Caryn Mirriam-Goldberg,1888160438,Paperback,Ice Cube Press,Sep-09,242
457,Hot Biscuits: Eighteen Stories by Women and Men of the Ranching West,Max Evans,"Max Evans (Editor), Candy Moulton",082632889X,Hardcover,University of New Mexico Press,Jul-02,
458,Santa Fe Nativa: A Collection of Nuevomexicano Writing,Rosalie C. Otero,"Rosalie C. Otero (Editor), Enrique R. Lamadrid (Editor), A. Gabriel Melendez (Editor), Miguel A. Gandert",826348181,Hardcover,University of New Mexico Press,Nov-09,244
459,Literary Austin,Don Graham,Don Graham,875653421,Hardcover,Texas Christian University Press,Apr-07,
460,The Best American Short Plays 2004-2005,Barbara Parisi,Barbara Parisi,1557837120,Paperback,Applause Theatre and Cinema Books,Aug-08,332
461,En Otra Voz: Antolog&#237;a de Literatura Hispana de los Estados Unidos,Nicolas Kanellos,"Nicolas Kanellos (Editor), Jose B. Fernandez (With), Kenya Dworkin-Mendez",1558853464,Paperback,Arte Publico Press,Aug-02,608
462,Common Wealth,Marjorie Maddox,"Marjorie Maddox (Editor), Jerry Wemple",271027215,Paperback,Penn State University Press,Oct-05,288
463,American Satire,Nicholas Bakalar,"Nicholas Bakalar, Stephen Koch",452011744,Paperback,Penguin Group (USA),Apr-97,480
464,"Appalachia inside Out, Vol. 2",Robert J. Higgs,"Robert J. Higgs (Editor), Jim W. Miller (Editor), Ambrose N. Manning",870498762,Paperback,University of Tennessee Press,Nov-95,432
465,New Stories from the Southwest,D. Seth Horton,"D. Seth Horton (Editor), Ray Gonzalez",804011079,Paperback,Ohio University Press,Dec-07,288
466,Writing New England: An Anthology from the Puritans to the Present,Andrew Delbanco,Andrew Delbanco,674006038,Hardcover,Harvard University Press,Oct-01,512
467,Crazy Woman Creek: Women Rewrite the American West,Nancy Curtis,"Nancy Curtis (Adapted by), Nancy Curtis (Editor), Gaydell Collier",618249338,Paperback,Houghton Mifflin Harcourt,May-04,336
468,Circle of Women: An Anthology of Contemporary Western Women Writers,Kim Barnes,"Kim Barnes (Editor), Mary Clearman Blew",806133678,Paperback,University of Oklahoma Press,Nov-01,416
469,The Portable Western Reader,Various,"Various, William Kittredge",140230262,Paperback,Penguin Group (USA),Jul-97,624
470,African-American Literature: A Brief Introduction and Anthology,Al Young,"Al Young, Robert Young",673990176,Paperback,Longman,Jan-97,500
471,El Coro,Martin Espada,Martin Espada,1558491112,Paperback,University of Massachusetts Press,Dec-97,184
472,"Off Off Broadway Festival Plays, 34th Series",Various,Various,573697558,Paperback,"Samuel French, Incorporated",Feb-10,116
473,American Wits: An Anthology of Light Verse,VARIOUS,VARIOUS,1931082499,Hardcover,Library of America,Oct-03,200
474,Out on the Porch: An Evocation in Words and Pictures,Reynolds Price,"Reynolds Price, Clifton Dowell (Editor), Reynolds Price",945575939,Hardcover,Algonquin Books of Chapel Hill,Jan-92,128
475,30 Satires,Lewis H. Lapham,Lewis H. Lapham,1565849868,Paperback,"New Press, The",Apr-05,
476,Literary Mama: Reading for the Maternally Inclined,Andrea J. Buchanan,"Andrea J. Buchanan, Amy Hudock",1580051588,Paperback,Avalon Publishing Group,Jan-06,271
477,"In So Many More Words: Arguments and Adventures, Second Edition",Robert Schmuhl,Robert Schmuhl,268041342,Paperback,University of Notre Dame Press,Sep-10,288
478,Georgia Cowboy Poets,David Fillingim,David Fillingim,881461830,Paperback,Mercer University Press,Mar-10,224
479,Decolonial Voices: Chicana and Chicano Cultural Studies in the 21st Century,Arturo J. Aldama,"Arturo J. Aldama, Naomi Qui?onez",253214920,Paperback,Indiana University Press,Mar-02,432
480,More Mirth of a Nation: The Best Contemporary Humor,Michael J. Rosen,"Michael J. Rosen, Michael J. Rosen",60953225,Paperback,HarperCollins Publishers,Nov-02,
481,New Playwrights: The Best Plays of 2003,D. L. Lepidus,"D. L. Lepidus (Editor), Frances Hill",1575253860,Paperback,"Smith & Kraus, Inc.",Nov-05,328
482,American Reader,Kathy-jo Wargin,"Kathy-jo Wargin, Kathryn Darnell (Illustrator), K. L. Darnell",1585360953,Paperback,Sleeping Bear Press,Sep-06,96
483,Every Shut Eye Ain't Asleep; An Anthology of Poetry by African Americans since 1945,Michael S. Harper,"Michael S. Harper, Anthony Walton",316347108,Paperback,Hachette Book Group,Feb-94,344
484,Moment's Notice: Jazz in Poetry and Prose,Art Lange,"Art Lange (Editor), Nathaniel Mackey",1566890012,Hardcover,Coffee House Press,Jul-92,384
485,Literary Nashville,Patrick Allen,"Patrick Allen, Madison Jones (Foreword by), Parke Godwin",1892514117,Paperback,"Hill Street Press, LLC",Nov-99,
486,Screaming Monkeys: Critiques of Asian American Images,M. Evelina Galang,"M. Evelina Galang (Editor), Eileen Tabios",1566891418,Paperback,Coffee House Press,Jul-03,500
487,Imagination And Spirit,J. Brent Bill,"J. Brent Bill (Editor), Shari Pickett Veach (Designed by), C. Michael Curtis (Foreword by), J. Brent Bill",944350615,Paperback,Friends United Press,Feb-06,292
488,"Writings: The Autobiography of an Ex-Colored Man, Along This Way, Essays and Editorials, Selected Poems",James Weldon Johnson,"James Weldon Johnson, William L. Andrews",1931082529,Hardcover,Library of America,Jan-04,828
489,Quixotic Fictions of the USA 1792-1815,Sarah Florence Wood,Sarah Florence Wood,199273154,Hardcover,"Oxford University Press, USA",Jan-06,320
490,"Roots of African American Drama: An Anthology of Early Plays, 1858-1938",Leo Hamalian,"Leo Hamalian (Editor), James Vernon Hatch (Editor), George C. Wolfe",814321429,Paperback,Wayne State University Press,Dec-92,
491,The Floating Borderlands: Twenty-Five Years of U.S. Hispanic Literature,Lauro Flores,Lauro Flores,295977469,Paperback,University of Washington Press,Dec-98,446
492,Classic Plays from the Negro Ensemble Company,Paul Carter Harrison,"Paul Carter Harrison (Editor), Gus (Eds.) Edwards, Gus Edwards",822955601,Paperback,University of Pittsburgh Press,Oct-95,594
493,Mississippi Writers: An Anthology,Dorothy Abbott,Dorothy Abbott,878054790,Hardcover,University Press of Mississippi,Jun-91,
494,Bombshells: War Stories and Poems by Women on the Homefront,Missy Martin,"Missy Martin (Editor), Jesse Loren",978848934,Paperback,"OmniArts, LLC",Jan-07,163
495,At Home on the Earth: Becoming Native to Our Place,David Landis Barnhill,"David Landis Barnhill (Editor), Alice Walker, Gary Snyder",520216849,Paperback,University of California Press,Aug-99,341
496,Wines in the Wilderness: Plays by African American Women from the Harlem Renaissance to the Present,Elizabeth Brown-Guillory,"Elizabeth Brown-Guillory (Compiler), Elizabeth Brown-Guillory",275935671,Paperback,"Greenwood Publishing Group, Incorporated",Aug-90,272
497,Stand Up Poetry: An Expanded Anthology,Charles Harper Webb,Charles Harper Webb,877457956,Paperback,University of Iowa Press,Jan-02,348
498,First Thought Best Thought,Allen Ginsberg,"Allen Ginsberg, William S. Burroughs, Diane Di Prima",159179188X,Compact Disc,"Sounds True, Incorporated",Aug-04,
499,For She Is the Tree of Life: Grandmothers Through the Eyes of Women Writers,Valerie Kack-Brice,Valerie Kack-Brice,1573240370,Paperback,Red Wheel/Weiser,May-96,
500,White Lines: Writers on Cocaine,Geno Zanetti,"Geno Zanetti (Editor), Stephen Hyde (Editor), Terry Southern (Contribution by), Richard Rudgley",1560253789,Paperback,Running Press Book Publishers,Dec-02,352